System-setup		FG			2PT Entropy			TRN		ROT		VIB		TOT
Box length	Temperature	D values	FG D(tilde)	ln FG D(tilde)	trn	rot	vib	IDEAL	S_EX(TRN)	IDEAL	s_ex(rot)	Ideal	s_ex(vib)	s_ex(tot)
35.944	380	0.340165911	4.04001E-05	-10.11667949	9748.52	9166.28	28190.6	16.90786029	-7.527857164	15.6032805	-6.783507334	28.19157739	-1.066648048	-15.37801255
35.5	400	0.1014486	1.18904E-05	-11.33977787	9350.14	8844.03	28727.57	16.94751181	-7.950828983	15.68022044	-7.170515471	29.94553415	-2.303933534	-17.42527799
36.3	420	2.064090991	0.000230891	-8.37356505	10336.71	9792.07	31443.61	17.08755219	-7.141594019	15.75340568	-6.331498849	31.70501946	-1.45005151	-14.92314438
35.5	440	0.291723645	3.26007E-05	-10.33117829	9813.68	9235.45	33109.05	17.09047708	-7.647777149	15.82318571	-6.936857333	33.46642751	-1.608977094	-16.19361158
35.5	450	0.333385072	3.68401E-05	-10.20892346	9778.43	9216.93	33937.46	17.12418636	-7.715403901	15.85689499	-6.988386518	34.34682793	-1.692283346	-16.39607376
36.655	460	5.374523498	0.000568902	-7.471803056	11339.49	10485.85	35402.52	17.25320616	-6.342375427	15.88986335	-5.800403024	35.22652667	-1.162304788	-13.30508324
35.5	480	0.655579899	7.01433E-05	-9.564970726	9963.85	9396.92	36205.2	17.22099414	-7.633800992	15.95370277	-6.912008343	36.98246068	-2.145901984	-16.69171132
36.833	480	6.534983402	0.000673901	-7.302427312	11733.77	10848.48	37149.28	17.3315786	-6.041372569	15.95370277	-5.515320708	36.98246068	-1.237510417	-12.79420369
35.5	500	0.718187433	7.52894E-05	-9.494171326	10116.66	9637.98	38387.71	17.28222713	-7.54800056	16.01493576	-6.741293967	38.73173639	-1.795171675	-16.0844662
37.01	500	8.477183179	0.000852426	-7.067423858	11687.91	11030.94	39211.23	17.40719348	-6.161113837	16.01493576	-5.400991115	38.73173639	-1.002782658	-12.56488761
35.5	540	1.315154173	0.000132666	-8.92767325	10344.27	9853.13	41776.36	17.3976687	-7.444436312	16.13037733	-6.649718702	42.2020237	-2.004907886	-16.0990629
37.2	540	12.91690988	0.001243449	-6.689865919	12451.59	11471.09	42862.76	17.53799689	-5.557106135	16.13037733	-5.092921377	42.2020237	-0.959576348	-11.60960386
37.366	540	13.99449598	0.001341199	-6.614191547	12431.17	11622.94	42892.64	17.55135421	-5.590111527	16.13037733	-4.946811662	42.2020237	-0.930825882	-11.46774907
35	600	0.543617007	5.27666E-05	-9.849633085	10176.95	9624.39	46465.21	17.51315556	-7.720918093	16.2884181	-7.027852568	47.31338319	-2.604666884	-17.35343755
35.5	600	2.316877162	0.000221722	-8.414087181	10717.22	10230.23	47218.84	17.55570947	-7.243625469	16.2884181	-6.444914738	47.31338319	-1.879525862	-15.56806607
36	600	5.214391086	0.000492079	-7.616871331	11427.23	10818.58	47831.42	17.59766819	-6.602414234	16.2884181	-5.878805745	47.31338319	-1.29010282	-13.7713228
36.4	600	8.602677858	0.000802908	-7.127269953	11791.96	11084.55	47468.73	17.6308177	-6.284621391	16.2884181	-5.622890034	47.31338319	-1.639082289	-13.54659371
36.8	600	14.34560822	0.001324356	-6.62682871	12168.34	11507.09	48100.15	17.66360491	-5.955256647	16.2884181	-5.216323035	47.31338319	-1.031531443	-12.20311112
37	600	13.80155105	0.001267243	-6.670911644	12491.98	11789.1	47903.88	17.67986512	-5.660111199	16.2884181	-4.944973673	47.31338319	-1.220381978	-11.82546685
37.2	600	15.68951028	0.001432848	-6.54809112	12531.93	11641.23	47862.1	17.69603766	-5.637843948	16.2884181	-5.087253841	47.31338319	-1.260582596	-11.98568039
37.6	600	17.15015318	0.00154958	-6.469771657	13007.93	12161.1	48510.45	17.72812353	-5.21192373	16.2884181	-4.587036143	47.31338319	-0.636741743	-10.43570162
37.899	600	22.77944191	0.002041969	-6.19384098	13335.26	12438.32	48413.18	17.75188556	-4.920729598	16.2884181	-4.320295708	47.31338319	-0.73033471	-9.971360016
35.5	700	6.013452919	0.00053279	-7.537383636	11371.44	10727	55255.59	17.78693549	-6.845362536	16.51964412	-6.198149827	55.51851233	-2.35171296	-15.39522532
