tau,R,gamma
0.00016,0.01874947715841782,0.3031120343559396
0.00032,0.034884885045556493,0.4474188922781834
0.00064,0.08682348458724723,0.8867521357209094
0.00128,0.15908991620212362,1.472506791516613
0.00256,0.2553355594870062,2.274992256102151
0.00512,0.36735353443233687,3.237946140316984
0.01024,0.4760524906026803,4.18866928429466
0.02048,0.5666259058935168,4.97845718378195
0.04096,0.6368991347943115,5.567056919689606
0.08192,0.6927273116190095,5.995571319843976
0.16384,0.7379502402088177,6.28641645868067
0.32768,0.7782589295386785,6.504900320183858
0.65536,0.818569249373661,6.6763103785908084
1.31072,0.8557655753111565,6.740221713684291
2.62144,0.8782324040411882,6.920540096340543
5.24288,0.889692393383665,7.194024495666057
10.48576,0.8844350734668024,7.267952194162213
20.97152,0.8605753530727698,6.904874037999281
